zona,tendencia,edad,sexo,aprobacion_presidencial,word,peso
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,ejecutado,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,empeabilidad,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,empleo,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,empresariado,1.76974
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,empresario,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,empresas,3.13011
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,encontrado,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,enfrentado,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,enpresariales,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,equipo,1.46385
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,escuchado,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,esfuerzo,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,espero,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,estabilidad,2.9107700000000003
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,esten,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,estudiantes,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,estudiar,0.7597
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,explicar,1.46385
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,externa,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,facilmente,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,familia,1.64457
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,fomento,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,fondo,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,forma,1.62764
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,fuente,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,funcionan,0.74277
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,gasto,0.70415
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,gastos,0.88487
Santiago,Centro Derecha / Derecha,18-34,Hombre,Aprueba,genera,0.88487
